,bibkey,type,title,authors,ss_id,all_ss_ids,comment,year
758,Kost16,article,Predicting Lung Volume Reduction after Endobronchial Valve Therapy Is Maximized Using a Combination of Diagnostic Tools,"Koster, T David and van Rikxoort, Eva M and Huebner, Ralf-Harto and Doellinger, Felix and Klooster, Karin and Charbonnier, JP. and Radhakrishnan, Sri and Herth, Felix J F and Slebos, Dirk-Jan",,,,2016.0
779,Leem15,inproceedings,A novel spherical shell filter for reducing false positives in automatic detection of pulmonary nodules in thoracic {CT} scans,Sil van de Leemput and Frank Dorssers and Babak {Ehteshami Bejnordi,,,,2015.0
782,Leem18b,inproceedings,Stacked Bidirectional Convolutional {LSTM}s for {3D} Non-contrast {CT} Reconstruction from Spatiotemporal {4D CT,"van de Leemput, S. C. and Prokop, M. and van Ginneken, B. and Manniesing, R.",,,,2018.0
783,Leem18c,inproceedings,Full Volumetric Brain Tissue Segmentation in Non-contrast {CT} using Memory Efficient Convolutional {LSTM}s,"van de Leemput, S. C. and Patel, A. and Manniesing, R.",,,,2018.0
815,Less18a,inproceedings,Iterative fully convolutional neural networks for automatic vertebra segmentation,Nikolas Lessmann and Bram van Ginneken and Pim A. de Jong and Ivana I{\v{s}}gum,,,,2018.0
830,Lief19b,article,A deep learning model for segmentation of geographic atrophy to study its long-term natural history,"Liefers, Bart and Colijn, Johanna M and Gonz\'{a}lez-Gonzalo, Cristina and Verzijden, Timo and Mitchell, Paul and Hoyng, Carel B and van Ginneken, Bram and Klaver, Caroline CW and S\'{a}nchez, Clara I",,,,2019.0
906,Maie18a,article,Why rankings of biomedical image analysis competitions should be interpreted with care,"Maier-Hein, Lena and Eisenmann, Matthias and Reinke, Annika and Onogur, Sinan and Stankovic, Marko and Scholz, Patrick and Arbel, Tal and Bogunovic, Hrvoje and Bradley, Andrew P and Carass, Aaron and Feldmann, Carolin and Frangi, Alejandro F and Full, Peter M and van Ginneken, Bram and Hanbury, Allan and Honauer, Katrin and Kozubek, Michal and Landman, Bennett A and Marz, Keno and Maier, Oskar and Maier-Hein, Klaus and Menze, Bjoern H and Muller, Henning and Neher, Peter F and Niessen, Wiro and Rajpoot, Nasir and Sharp, Gregory C and Sirinukunwattana, Korsuk and Speidel, Stefanie and Stock, Christian and Stoyanov, Danail and Taha, Abdel Aziz and van der Sommen, Fons and Wang, Ching-Wei and Weber, Marc-Andre and Zheng, Guoyan and Jannin, Pierre and Kopp-Schneider, Annette",91d23b702b9a59bf75c5162c3250017b526c0e69,"['8678f63d7a648eb4d0f64e50c8ff5a1c53ac128b', '91d23b702b9a59bf75c5162c3250017b526c0e69', 'bed661aebb0ede3c407e044637ce60a6d7ccfe5f', 'fa96430855d805c045335e70c0b60d3acb8c9a79']","title matching: single bibkey with multiple_ss_ids (['8678f63d7a648eb4d0f64e50c8ff5a1c53ac128b', '91d23b702b9a59bf75c5162c3250017b526c0e69', 'bed661aebb0ede3c407e044637ce60a6d7ccfe5f', 'fa96430855d805c045335e70c0b60d3acb8c9a79']), took the first one with most citations",2018.0
907,Maie19,article,BIAS: Transparent reporting of biomedical image analysis challenges,"Maier-Hein, Lena and Reinke, Annika and Kozubek, Michal and L. Martel, Anne and Arbel, Tal and Eisenmann, Matthias and Hanbuary, Allan and Jannin, Pierre and Muller, Henning and Onogur, Sinan and Saez-Rodriguez, Julio and van Ginneken, Bram and Kopp-Schneider, Annette and Landman, Bennett",,,,2019.0
936,Mann17,article,White Matter and Gray Matter Segmentation in {4D} Computed Tomography,Rashindra Manniesing and Marcel T.H. Oei and Luuk J Oostveen and Jaime Melendez and Ewoud J. Smit and Bram Platel and Clara I S\'{a}nchez and Frederick J.A. Meijer and Mathias Prokop and Bram van Ginneken,86bab119f07a492350c6cc7bd06ed91c73ee807a,"['682e8febc5d053766fefe1ee2de5ca2ff39762f2', '7f1eabb6591699816ccd89e7765a66dc54a7175c', '86bab119f07a492350c6cc7bd06ed91c73ee807a', 'e7f15929ff71a5a33af66ece92d707a7be7aebc8']","title matching: single bibkey with multiple_ss_ids (['682e8febc5d053766fefe1ee2de5ca2ff39762f2', '7f1eabb6591699816ccd89e7765a66dc54a7175c', '86bab119f07a492350c6cc7bd06ed91c73ee807a', 'e7f15929ff71a5a33af66ece92d707a7be7aebc8']), took the first one with most citations",2017.0
944,Mehr17,inproceedings,Classification of clinical significance of MRI prostate findings using 3D convolutional neural networks,"Mehrtash, Alireza and Sedghi, Alireza and Ghafoorian, Mohsen and Taghipour, Mehdi and Tempany, Clare M. and Wells, William M. and Kapur, Tina and Mousavi, Parvin and Abolmaesumi, Purang and Fedorov, Andriy",,,,2017.0
949,Meij15c,article,"Analysis of perfusion {MRI} in stroke: To deconvolve, or not to deconvolve","Meijs, Midas and Christensen, Soren and Lansberg, Maarten G and Albers, Gregory W and Calamante, Fernando",,,,2016.0
952,Meij17a,article,Robust Segmentation of the Full Cerebral Vasculature in {4D CT} Images of Suspected Stroke Patients,Midas Meijs and Ajay Patel and Sil van de Leemput and Mathias Prokop and Ewoud J van Dijk and Frank-Erik de Leeuw and Frederick J. A. Meijer and Bram van Ginneken and Rashindra Manniesing,fb5c4bf41fd879c9c64028a817db7f7ab6aba429,"['6119971f513cfa3a9dce2cff139f041f11bcb404', 'fb5c4bf41fd879c9c64028a817db7f7ab6aba429']","title matching: single bibkey with multiple_ss_ids (['6119971f513cfa3a9dce2cff139f041f11bcb404', 'fb5c4bf41fd879c9c64028a817db7f7ab6aba429']), took the first one with most citations",2017.0
1003,Meye20,article,Anisotropic {3D} Multi-Stream {CNN} for Accurate Prostate Segmentation from Multi-Planar {MRI,Anneke Meyer and Grzegorz Chlebus and Marko Rak and Daniel Schindele and Martin Schostak and Bram van Ginneken and Andrea Schenk and Hans Meine and Horst K. Hahn and Andreas Schreiber and Christian Hansen,,,,2020.0
1004,Meye20a,article,Anisotropic {3D} Multi-Stream {CNN} for Accurate Prostate Segmentation from Multi-Planar {MRI,Anneke Meyer and Grzegorz Chlebus and Marko Rak and Daniel Schindele and Martin Schostak and Bram van Ginneken and Andrea Schenk and Hans Meine and Horst K. Hahn and Andreas Schreiber and Christian Hansen,,,,2020.0
1018,Moor18a,inproceedings,Automated soft tissue lesion detection and segmentation in digital mammography using a u-net deep learning network,Timothy de Moor and Alejandro Rodriguez-Ruiz and Ritse Mann and Jonas Teuwen,,,,2018.0
1019,Moor2018,article,Automated soft tissue lesion detection and segmentation in digital mammography using a u-net deep learning network,"de Moor, Timothy and Rodriguez-Ruiz, Alejandro and Mann, Ritse and Teuwen, Jonas",,,,2018.0
1031,Mori17,article,On Effective Birkhoff's Ergodic Theorem for Computable Actions of Amenable Groups,"Moriakov, Nikita",,,,2017.0
1032,Mori20,inproceedings,Kernel of CycleGAN as a principal homogeneous space,"Moriakov, N. and Adler, J. and Teuwen, J.",6d37b7ceb99c6cc36be602ae9ab2a26232d11bb5,"['6d37b7ceb99c6cc36be602ae9ab2a26232d11bb5', '8f938d6b54c38e469997969380383de635e654aa']","title matching: single bibkey with multiple_ss_ids (['6d37b7ceb99c6cc36be602ae9ab2a26232d11bb5', '8f938d6b54c38e469997969380383de635e654aa']), took the first one with most citations",2020.0
1041,Mull19,article,Application of convolutional neural networks to breast biopsies to delineate tissue correlates of mammographic breast density,"Mullooly, Maeve and Ehteshami Bejnordi, Babak and Pfeiffer, Ruth M and Fan, Shaoqi and Palakal, Maya and Hada, Manila and Vacek, Pamela M and Weaver, Donald L and Shepherd, John A and Fan, Bo and Mahmoudzadeh, Amir Pasha and Wang, Jeff and Malkov, Serghei and Johnson, Jason M and Herschorn, Sally D and Sprague, Brian L and Hewitt, Stephen and Brinton, Louise A and Karssemeijer, Nico and van der Laak, Jeroen and Beck, Andrew and Sherman, Mark E and Gierach, Gretchen L",18d0a58647fbdaaf7cd278cb66ae548a1e5289e5,"['18d0a58647fbdaaf7cd278cb66ae548a1e5289e5', '981fb8239e2e32cd742059aa270015871aa64b61']","title matching: single bibkey with multiple_ss_ids (['18d0a58647fbdaaf7cd278cb66ae548a1e5289e5', '981fb8239e2e32cd742059aa270015871aa64b61']), took the first one with most citations",2019.0
1042,Mulle20,article,Reliability of retinal pathology quantification in age-related macular degeneration: Implications for clinical trials and machine learning applications,"Muller, Philipp L. and Liefers, Bart and Treis, Tim and Gomes Rodrigues, Filipa and Olvera-Barrios, Abraham and Paul, Bobby and Dhingra, Narendra and Lotery, Andrew and Bailey, Clare and Taylor, Paul and S\'{a}nchez, Clara I and Tufail, Adnan",,,,2020.0
1057,Murp19,article,Computer aided detection of tuberculosis on chest radiographs: An evaluation of the CAD4TB v6 system,"Murphy, Keelin and Habib, Shifa Salman and Zaidi, Syed Mohammad Asad and Khowaja, Saira and Khan, Aamir and Melendez, Jaime and Scholten, Ernst T. and Amad, Farhan and Schalekamp, Steven and Verhagen, Maurits and Philipsen, Rick H. H. M. and Meijers, Annet and van Ginneken, Bram",,,,2019.0
1058,Murp20,article,Computer aided detection of tuberculosis on chest radiographs: An evaluation of the CAD4TB v6 system,"Murphy, Keelin and Habib, Shifa Salman and Zaidi, Syed Mohammad Asad and Khowaja, Saira and Khan, Aamir and Melendez, Jaime and Scholten, Ernst T. and Amad, Farhan and Schalekamp, Steven and Verhagen, Maurits and Philipsen, Rick H. H. M. and Meijers, Annet and van Ginneken, Bram",0807697ee497d294c1ec272631c5f84aeeb2571e,"['0807697ee497d294c1ec272631c5f84aeeb2571e', 'c70d5169b5c69171cc2ed3ec40eebda0630988d9']","multiple doi matches ['0807697ee497d294c1ec272631c5f84aeeb2571e', 'c70d5169b5c69171cc2ed3ec40eebda0630988d9'], took the first one with most citations",2020.0
1145,Poko15,article,"Reply to Yaalini Shanmugabavan, Stephanie Guillaumier and Hashim U. Ahmed's Letter to the Editor re: Morgan R. Pokorny, Maarten de Rooij, Earl Duncan, et al. Prospective Study of Diagnostic Accuracy Comparing Prostate Cancer Detection by Transrectal Ultrasound-Guided Biopsy Versus Magnetic Resonance ({MR}) Imaging with Subsequent {MR}-guided Biopsy in Men Without Previous Prostate Biopsies. Eur Urol 2014;66:22-9","Pokorny, Morgan and Van de Ven, Wendy and Barentsz, Jelle and Thompson, Leslie",,,,2015.0
1178,Rein21a,article,Common Limitations of Image Processing Metrics: A Picture Story,Annika Reinke and Matthias Eisenmann and Minu D. Tizabi and Carole H. Sudre and Tim Radsch and Michela Antonelli and Tal Arbel and Spyridon Bakas and M. Jorge Cardoso and Veronika Cheplygina and Keyvan Farahani and Ben Glocker and Doreen Heckmann-Notzel and Fabian Isensee and Pierre Jannin and Charles E. Kahn and Jens Kleesiek and Tahsin Kurc and Michal Kozubek and Bennett A. Landman and Geert Litjens and Klaus Maier-Hein and Bjoern Menze and Henning Muller and Jens Petersen and Mauricio Reyes and Nicola Rieke and Bram Stieltjes and Ronald M. Summers and Sotirios A. Tsaftaris and Bram van Ginneken and Annette Kopp-Schneider and Paul Jager and Lena Maier-Hein,787ef2981e94e481432cb2a1296903676ec80fa9,"['6257ee97417d8bead217991caf7c3cd5b439e040', '787ef2981e94e481432cb2a1296903676ec80fa9']","title matching: single bibkey with multiple_ss_ids (['6257ee97417d8bead217991caf7c3cd5b439e040', '787ef2981e94e481432cb2a1296903676ec80fa9']), took the first one with most citations",2021.0
1181,Ridg15,article,Differentiating between Subsolid and Solid Pulmonary Nodules at {CT}: Inter- and Intraobserver Agreement between Experienced Thoracic Radiologists,"Ridge, Carole A. and Yildirim, Afra and Boiselle, Phillip M. and Franquet, Tomas and Schaefer-Prokop, Cornelia M. and Tack, Denis and Gevenois, Pierre Alain and Bankier, Alexander A.",fdf663cc9dda29d55f2e2f44f9876f3b08f854f8,"['75bc9847c96d8f319f82d1b9ba01b5a396247152', 'a6a2fed1ee525c0d2a35ae6454660eca53ce03fc', 'fdf663cc9dda29d55f2e2f44f9876f3b08f854f8']","title matching: single bibkey with multiple_ss_ids (['75bc9847c96d8f319f82d1b9ba01b5a396247152', 'a6a2fed1ee525c0d2a35ae6454660eca53ce03fc', 'fdf663cc9dda29d55f2e2f44f9876f3b08f854f8']), took the first one with most citations",2016.0
1247,Ruh19,inproceedings,Generating CT-scans with 3D Generative Adversarial Networks Using a Supercomputer,"Ruhe, David and Codreanu, Valeriu and van Leeuwen, Caspar and Podareanu, Damian and Saletore, Vikram and Teuwen, Jonas",,,,2019.0
1250,Saha20a,inproceedings,Weakly Supervised 3D Classification of Chest CT using Aggregated Multi-Resolution Deep Segmentation Features,Anindo Saha and Fakrul Tushar and Khrystyna Faryna and Vincent D'Anniballe and Rui Hou and Maciej Mazurowski and Geoffrey Rubin and Joseph Lo,,,,2020.0
1252,Saha20c,inproceedings,Leveraging Adaptive Color Augmentation in Convolutional Neural Networks for Deep Skin Lesion Segmentation,Anindo Saha and Prem Prasad and Abdullah Thabit,,,,2020.0
1259,Saha23b,inproceedings,Artificial Intelligence and Radiologists at Prostate Cancer Detection in MRI: The PI-CAI Challenge,Anindo Saha and Joeran Bosma and Jasper Twilt and Bram van Ginneken and Derya Yakar and Mattijs Elschot and Jeroen Veltman and Jurgen Fütterer and Maarten de Rooij and Henkjan Huisman,,,,2023.0
1326,Scha20,article,Model-based Prediction of Critical Illness in Hospitalized Patients with COVID-19,"Schalekamp, S and Huisman, M and van Dijk, R A and Boomsma, M F and Freire Jorge, P J and de Boer, W S and Herder, G J M and Bonarius, M and Groot, O A and Jong, E and Schreuder, A and Schaefer-Prokop, C M",,,,2020.0
1328,Scha22a,article,Current and emerging artificial intelligence applications in chest imaging: a pediatric perspective,"Schalekamp, Steven and Klein, Willemijn M and van Leeuwen, Kicky G",,,,2022.0
1364,Scho14c,article,Towards a close computed tomography monitoring approach for screen detected subsolid pulmonary nodules?,"Scholten, Ernst T. and de Jong, Pim A. and de Hoop, Bartjan and van Klaveren, Rob and van Amelsvoort-van de Vorst, Saskia and Oudkerk, Matthijs and Vliegenthart, Rozemarijn and de Koning, Harry J. and van der Aalst, Carlijn M. and Vernhout, Ren\'{e} M. and Groen, Harry J M. and Lammers, Jan-Willem J. and van Ginneken, Bram and Jacobs, Colin and Mali, Willem P T M. and Horeweg, Nanda and Weenink, Carla and Thunnissen, Erik and Prokop, Mathias and Gietema, Hester A.",6ca452a24dbe147205850148d98163481aa22dc6,"['2fa5f435f41242e8ef053e94ae7af400014ca7d3', '6ca452a24dbe147205850148d98163481aa22dc6']","title matching: single bibkey with multiple_ss_ids (['2fa5f435f41242e8ef053e94ae7af400014ca7d3', '6ca452a24dbe147205850148d98163481aa22dc6']), took the first one with most citations",2015.0
1368,Scho15b,article,Computed tomographic characteristics of interval and post screen carcinomas in lung cancer screening,"Scholten, Ernst Th and Horeweg, Nanda and {de Koning}, Harry J. and Vliegenthart, Rozemarijn and Oudkerk, Matthijs and Mali, Willem P Th M. and {de Jong}, Pim A.",,,,2015.0
1379,Schr19a,article,Morphological and topographical appearance of microaneurysms on optical coherence tomography angiography,"Schreur, Vivian and Domanian, Artin and Liefers, Bart and Venhuizen, Freerk G. and Klevering, B. Jeroen and Hoyng, Carel B. and de Jong, Eiko K. and Theelen, Thomas",,,,2019.0
1393,Schw15,inproceedings,Automatic assessment of nipple position in {A}utomated 3{D} {B}reast {U}ltrasound images,"Schwaab, J. and Gubern-M\'{e}rida, A. and Wang, L. and Gunther, M.",,,,2015.0
1394,Schw16,article,Automated quality assessment in three-dimensional breast ultrasound images,"Schwaab, Julia and Diez, Yago and Oliver, Arnau and Marti, Robert and van Zelst, Jan and Gubern-Merida, Albert and Mourri, Ahmed Bensouda and Gregori, Johannes and Gunther, Matthias",,,,2016.0
1408,Sier20,article,Rapid study assessment in follow-up whole-body computed tomography in patients with multiple myeloma using a dedicated bone subtraction software,"M. M. Sieren and F. Brenne and A. Hering and H. Kienapfel and N. Gebauer and T. H. Oechtering and A. F\""{u}rschke and F. Wegner and E. Stahlberg and S. Heldmann and J. Barkhausen and A. Frydrychowicz",,,,2020.0
1417,Sleb15,article,Air Trapping in Emphysema,"Slebos, Dirk-Jan and van Rikxoort, Eva M. and van der Bij, Wim",,,,2015.0
1435,Smit21,inproceedings,Quality control of whole-slide images through multi-class semantic segmentation of artifacts,"Smit, Gijs and Ciompi, Francesco and Cig{\'e}hn, Maria and Bod{\'e}n, Anna and van der Laak, Jeroen and Mercan, Caner",,,,2021.0
1447,Spre18,article,Impact of automatically detected motion artifacts on coronary calcium scoring in chest computed tomography,"Sprem, Jurica and de Vos, Bob D. and Lessmann, Nikolas and de Jong, Pim A. and Viergever, Max A. and Isgum, Ivana",,,,2018.0
1448,Spre18a,article,Coronary calcium scoring with partial volume correction in anthropomorphic thorax phantom and screening chest {CT} images,"Sprem, Jurica and de Vos, Bob D. and Lessmann, Nikolas and van Hamersvelt, Robbert W. and Greuter, Marcel J. W. and de Jong, Pim A. and Leiner, Tim and Viergever, Max A. and Isgum, Ivana",,,,2018.0
1479,Stud22,inproceedings,Building-T-cell score is a potential predictor for more aggressive treatment in pT1 colorectal cancers,Linda Studer and John-Melle Bokhorst and Francesco Ciompi and Andreas Fischer and Heather Dawson,,,,2022.0
1514,Teus15,article,Impact of motion-associated noise on intrinsic optical signal imaging in humans with optical coherence tomography,Michel M. Teussink and Barry Cense and Mark J. J. P. van Grinsven and B. Jeroen Klevering and Carel B. Hoyng and Thomas Theelen,,,,2015.0
1515,Teus15a,article,OCT Angiography Compared to Fluorescein and Indocyanine Green Angiography in Chronic Central Serous Chorioretinopathy,"Teussink, Michel M. and Breukink, Myrte B. and van Grinsven, Mark J J P. and Hoyng, Carel B. and Klevering, B Jeroen and Boon, Camiel J F. and de Jong, Eiko K. and Theelen, Thomas",,,,2015.0
1516,Teuw14,article,A note on Gaussian maximal function,"Teuwen, J.",,,,2015.0
1518,Teuw16b,article,On the integral kernels of derivatives of the Ornstein-Uhlenbeck semigroup,"Teuwen, J.",,,,2016.0
1553,Vele21,article,Volumetric evaluation of CT images of adrenal glands in primary aldosteronism.,"Velema, M S and Canu, L and Dekkers, T and Hermus, A R M M and Timmers, H J L M and Schultze Kool, L J and Groenewoud, H J M M and Jacobs, C and Deinum, J and SPARTACUS Investigators",,,,2021.0
1565,Velz19,inproceedings,Direct prediction of cardiovascular mortality from low-dose chest {CT} using deep learning,Sanne van Velzen and Majd Zreik and Nikolas Lessmann and Max A. Viergever and Pim A. de Jong and Helena M. Verkooijen and Ivana I{\v{s}}gum,,,,2019.0
1581,Vend18,article,Elastic versus rigid image registration in {MRI-TRUS} fusion prostate biopsy: a systematic review and meta-analysis,"Venderink, Wulphert and de Rooij, Maarten and Sedelaar, Michiel J. and Huisman, Henkjan J. and Futterer, Jurgen J.",acaba0aa6a8a55104ae2cb09f093aa30621ffb47,"['2a846d2cba5a8f0db089e7f2af275a535b15d82f', 'acaba0aa6a8a55104ae2cb09f093aa30621ffb47']","title matching: single bibkey with multiple_ss_ids (['2a846d2cba5a8f0db089e7f2af275a535b15d82f', 'acaba0aa6a8a55104ae2cb09f093aa30621ffb47']), took the first one with most citations",2018.0
1597,Vent21,article,Automated COVID-19 Grading with Convolutional Neural Networks in Computed Tomography Scans: A Systematic Comparison,Coen de Vente and Luuk H. Boulogne and Kiran Vaidhya Venkadesh and Cheryl Sital and Nikolas Lessmann and Colin Jacobs and Clara I. S\'{a}nchez and Bram van Ginneken,441d6e8ba2cc2314d7d44425a158c25e27f9cb96,"['41f386d38567e38132525cad9bdc7da1ad6e8f1c', '441d6e8ba2cc2314d7d44425a158c25e27f9cb96']","title matching: single bibkey with multiple_ss_ids (['41f386d38567e38132525cad9bdc7da1ad6e8f1c', '441d6e8ba2cc2314d7d44425a158c25e27f9cb96']), took the first one with most citations",2022.0
1600,Verm21,inproceedings,muPEN: Multi-class PseudoEdgeNet for PD-L1 assessment,"Vermazeren, Jeroen and van Eekelen, Leander and Meesters, Luca and Looijen-Salamon, Monika and Vos, Shoko and Munari, Enrico and Mercan, Caner and Ciompi, Francesco",,,,2021.0
1619,Vos15,article,Multiparametric Magnetic Resonance Imaging for Discriminating Low-Grade From High-Grade Prostate Cancer,"Vos, Eline K. and Kobus, Thiele and Litjens, Geert J S. and Hambrock, Thomas and Hulsbergen-van de Kaa, Christina A. and Barentsz, Jelle O. and Maas, Marnix C. and Scheenen, Tom W J.",,,,2015.0
1633,Vree18c,article,The added value of mammography in different age-groups of women with and without BRCA mutation screened with breast MRI,"Vreemann, Suzan and van Zelst, Jan C M and Schlooz-Vries, Margrethe and Bult, Peter and Hoogerbrugge, Nicoline and Karssemeijer, Nico and Gubern-Merida, Albert and Mann, Ritse M",7c3b43419293d766b7b6a69c4606d43cbbc13cd2,"['29351b0458efeec9407831afa5be3e3da58f61e1', '7c3b43419293d766b7b6a69c4606d43cbbc13cd2']","title matching: single bibkey with multiple_ss_ids (['29351b0458efeec9407831afa5be3e3da58f61e1', '7c3b43419293d766b7b6a69c4606d43cbbc13cd2']), took the first one with most citations",2018.0
1652,Wand17a,article,The effect of volumetric breast density on the risk of screen-detected and interval breast cancers: a cohort study,"Wanders, Johanna O.P. and Holland, Katharina and Karssemeijer, Nico and Peeters, Petra H.M. and Veldhuis, Wouter B. and Mann, Ritse M. and {van Gils}, Carla H.",d677e08922a1c646ef739f06bae679cc795ba362,"['10123038b80006871abc7396810bed15bfa29387', 'd677e08922a1c646ef739f06bae679cc795ba362']","multiple doi matches ['10123038b80006871abc7396810bed15bfa29387', 'd677e08922a1c646ef739f06bae679cc795ba362'], took the first one with most citations",2017.0
1654,Wang15,inproceedings,A fast alignment method for breast {MRI} follow-up studies using automated breast segmentation and current-prior registration,Lei Wang and Jan Strehlow and Jan Ruehaak and Florian Weiler and Yago Diez and Albert Gubern-M\'{e}rida and Susanne Diekmann and Hendrik Laue and Horst K. Hahn,,,,2015.0
1669,Xie20,article,Relational Modeling for Robust and Efficient Pulmonary Lobe Segmentation in {CT} Scans,"Xie, Weiyi and Jacobs, Colin and Charbonnier, Jean-Paul and van Ginneken, Bram",32a8259a781ea7255621b0cbdeecfa8d03d7e0bd,"['32a8259a781ea7255621b0cbdeecfa8d03d7e0bd', 'a7e94f52d1dfb0c5c823032a0b9a70dd0acbb625']","title matching: single bibkey with multiple_ss_ids (['32a8259a781ea7255621b0cbdeecfa8d03d7e0bd', 'a7e94f52d1dfb0c5c823032a0b9a70dd0acbb625']), took the first one with most citations",2020.0
1671,Xie21a,article,Dense regression activation maps for lesion segmentation in {CT} scans of {COVID-19} patients,"Xie, Weiyi and Jacobs, Colin and van Ginneken, Bram",,,,2021.0
1676,Yous17,article,Risk stratification based on screening history: the NELSON lung cancer screening study,"Yousaf-Khan, Uraujh and van der Aalst, Carlijn and de Jong, Pim A and Heuvelmans, Marjolein and Scholten, Ernst and Walter, Joan and Nackaerts, Kristiaan and Groen, Harry and Vliegenthart, Rozemarijn and Ten Haaf, Kevin and Oudkerk, Matthijs and de Koning, Harry",,,,2017.0
1679,Zaid18,article,Evaluation of the diagnostic accuracy of Computer-Aided Detection of tuberculosis on Chest radiography among private sector patients in {P}akistan,"Zaidi, Syed Mohammad Asad and Habib, Shifa Salman and van Ginneken, Bram and Ferrand, Rashida Abbas and Creswell, Jacob and Khowaja, Saira and Khan, Aamir",ebb0d21c567909e31be5d43d72c8b3020f2708c9,"['ebb0d21c567909e31be5d43d72c8b3020f2708c9', 'fd2239f855b044b6ebe9fac5e0e01951bc9eddb4']","title matching: single bibkey with multiple_ss_ids (['ebb0d21c567909e31be5d43d72c8b3020f2708c9', 'fd2239f855b044b6ebe9fac5e0e01951bc9eddb4']), took the first one with most citations",2018.0
1688,Zels18b,article,"Automated Three-dimensional Breast {US} for Screening: Technique, Artifacts, and Lesion Characterization","van Zelst, Jan C M and Mann, Ritse M",,,,2018.0
1693,Zrei18,article,Deep learning analysis of the myocardium in coronary {CT} angiography for identification of patients with functionally significant coronary artery stenosis,Majd Zreik and Nikolas Lessmann and Robbert W. van Hamersvelt and Jelmer M. Wolterink and Michiel Voskuil and Max A. Viergever and Tim Leiner and Ivana I{\v{s}}gum,,,,2018.0
1705,Hude20,article,Application of a risk-management framework for integration of stromal tumor-infiltrating lymphocytes in clinical trials.,"Hudeček, Jan and Voorwerk, Leonie and van Seijen, Maartje and Nederlof, Iris and de Maaker, Michiel and van den Berg, Jose and van de Vijver, Koen K. and Sikorska, Karolina and Adams, Sylvia and Demaria, Sandra and Viale, Giuseppe and Nielsen, Torsten O. and Badve, Sunil S. and Michiels, Stefan and Symmans, William Fraser and Sotiriou, Christos and Rimm, David L. and Hewitt, Stephen M. and Denkert, Carsten and Loibl, Sibylle and Loi, Sherene and Bartlett, John M. S. and Pruneri, Giancarlo and Dillon, Deborah A. and Cheang, Maggie C. U. and Tutt, Andrew and Hall, Jacqueline A. and Kos, Zuzana and Salgado, Roberto and Kok, Marleen and Horlings, Hugo M. and Group, International Immuno-Oncology Biomarker Working",c52daf1cb971120c4083116cfc213acbaac6faaf,"['c52daf1cb971120c4083116cfc213acbaac6faaf', 'cde27a74addf80ca2b3385a32966d51d35e0b2ff']","title matching: single bibkey with multiple_ss_ids (['c52daf1cb971120c4083116cfc213acbaac6faaf', 'cde27a74addf80ca2b3385a32966d51d35e0b2ff']), took the first one with most citations",2020.0
1708,Bohn22,article,Digital Implant Planning in Patients with Ectodermal Dysplasia: Clinical Report.,"Bohner, Lauren and Vinayahalingam, Shankeeth and Kleinheinz, Johannes and Hanisch, Marcel",,,,2022.0
1709,Naik22,article,Transforming healthcare through a digital revolution: A review of digital healthcare technologies and solutions.,"Naik, Nithesh and Hameed, B. M. Zeeshan and Sooriyaperakasam, Nilakshman and Vinayahalingam, Shankeeth and Patil, Vathsala and Smriti, Komal and Saxena, Janhavi and Shah, Milap and Ibrahim, Sufyan and Singh, Anshuman and Karimi, Hadis and Naganathan, Karthickeyan and Shetty, Dasharathraj K. and Rai, Bhavan Prasad and Chlosta, Piotr and Somani, Bhaskar K.",,,,2022.0
1712,Bemp22,article,The role of muscular traction in the occurrence of skeletal relapse after advancement bilateral sagittal split osteotomy (BSSO): A systematic review.,"Van den Bempt, Maxim and Vinayahalingam, Shankeeth and Han, Michael D. and Bergé, Stefaan J. and Xi, Tong",,,,2022.0
1713,Fehe22,article,Emulating Clinical Diagnostic Reasoning for Jaw Cysts with Machine Learning.,"Feher, Balazs and Kuchler, Ulrike and Schwendicke, Falk and Schneider, Lisa and Cejudo Grano de Oro, Jose Eduardo and Xi, Tong and Vinayahalingam, Shankeeth and Hsu, Tzu-Ming Harry and Brinz, Janet and Chaurasia, Akhilanand and Dhingra, Kunaal and Gaudin, Robert Andre and Mohammad-Rahimi, Hossein and Pereira, Nielsen and Perez-Pastor, Francesc and Tryfonos, Olga and Uribe, Sergio E. and Hanisch, Marcel and Krois, Joachim",,,,2022.0
1714,Esch22,article,A Survey on the Use of Artificial Intelligence by Clinicians in Dentistry and Oral and Maxillofacial Surgery.,"Eschert, Tim and Schwendicke, Falk and Krois, Joachim and Bohner, Lauren and Vinayahalingam, Shankeeth and Hanisch, Marcel",,,,2022.0
1715,Chen22,article,Is the pattern of mandibular asymmetry in mild craniofacial microsomia comparable to non-syndromic class II asymmetry?,"Chen, Yun-Fang and Vinayahalingam, Shankeeth and Bergé, Stefaan and Liao, Yu-Fang and Maal, Thomas and Xi, Tong",,,,2022.0
1717,Sadr23,article,Deep Learning for Detection of Periapical Radiolucent Lesions: A Systematic Review and Meta-analysis of Diagnostic Test Accuracy.,"Sadr, Soroush and Mohammad-Rahimi, Hossein and Motamedian, Saeed Reza and Zahedrozegar, Samira and Motie, Parisa and Vinayahalingam, Shankeeth and Dianat, Omid and Nosrat, Ali",,,,2023.0
