bibkey,type,title,authors,doi,gs_citations,journal
Dalm17,article,Using deep learning to segment breast and fibroglandular tissue in {MRI} volumes,"Dalmis, Mehmet Ufuk and Litjens, Geert and Holland, Katharina and Setio, Arnaud and Mann, Ritse and Karssemeijer, Nico and Gubern-M\'{e}rida, Albert",10.1002/mp.12079,113,MP
Dalm18,article,Fully automated detection of breast cancer in screening MRI using convolutional neural networks,"Dalmis, Mehmet Ufuk and Vreemann, Suzan and Kooi, Thijs and Mann, Ritse M and Karssemeijer, Nico and Gubern-Merida, Albert",10.1117/1.JMI.5.1.014502,20,JMI
Dalm19,article,"Artificial Intelligence Based Classification of Breast Lesions Imaged With a Multi-Parametric Breast MRI Protocol With ultrafast DCE-MRI, T2 and DWI","Dalmis, Mehmet Ufuk and Gubern-M{\'{e}}rida, Albert and Vreemann, Suzan and Bult, Peter and Karssemeijer, Nico and Mann, Ritse and Teuwen, Jonas",10.1097/RLI.0000000000000544,12,IR
Dalm19a,phdthesis,Automated Analysis of Breast MRI From traditional methods into deep learning,Mehmet Ufuk Dalmis,,,PhD thesis
Dama22,article,A Comparison Between Single- and Multi-Scale Approaches for Classification of Histopathology Images,Marina D'Amato and Przemys{\l}aw Szostak and Benjamin Torben-Nielsen,10.3389/fpubh.2022.892658,,Frontiers in Public Health
Dana97,inproceedings,Reflectance and texture of real-world surfaces,K. J. Dana and B. van Ginneken and S. K. Nayar and J. J. Koenderink,10.1109/CVPR.1997.609313,,
Dana99,article,Reflectance and texture of real world surfaces,K. J. Dana and B. van Ginneken and S. K. Nayar and J. J. Koenderink,10.1145/300776.300778,1745,ACMTG
Davi18,article,Chest X-Rays Image Inpainting with Context Encoders,Davide Belli and Shi Hu and Ecem Sogancioglu and Bram van Ginneken,,,arXiv:1812.00964
DeSo19,article,Validated imaging biomarkers as decision-making tools in clinical trials and routine practice: current status and recommendations from the EIBALL* subcommittee of the European Society of Radiology (ESR),"deSouza, Nandita M and Achten, Eric and Alberich-Bayarri, Angel and Bamberg, Fabian and Boellaard, Ronald and Clement, Olivier and Fournier, Laure and Gallagher, Ferdia and Golay, Xavier and Heussel, Claus Peter and Jackson, Edward F and Manniesing, Rashindra and Mayerhofer, Marius E and Neri, Emanuele and O'Connor, James and Oguz, Kader Karli and Persson, Anders and Smits, Marion and van Beek, Edwin J R and Zech, Christoph J and European Society of Radiology",10.1186/s13244-019-0764-0,3,INSI
Deba10,inproceedings,Automated classification of lymph nodes in {USPIO}-enhanced {MR}-images: a comparison of three segmentation methods,O. A. Debats and N. Karssemeijer and J. O. Barentsz and H. J. Huisman,10.1117/12.845640,2,
Deba11,article,Automated 3-Dimensional Segmentation of Pelvic Lymph Nodes in Magnetic Resonance Images,Oscar A. Debats AND G. Litjens AND Jelle O. Barentsz AND N. Karssemeijer AND H.J. Huisman,10.1118/1.3654162,12,MP
Deba11a,conference,Detection of Lymph Node Metastases with Ferumoxtran-10 vs Ferumoxytol,O.A. Debats and T. Hambrock and G. Litjens and H.J. Huisman and J.O. Barentsz,,,
Deba16,article,Automated multistructure atlas-assisted detection of lymph nodes using pelvic MR lymphography in prostate cancer patients,"Debats, Oscar A. and Meijs, Midas and Litjens, Geert J. S. and Huisman, Henkjan J.",10.1118/1.4951726,2,MP
Deba16a,article,Intranodal signal suppression in pelvic MR lymphography of prostate cancer patients: a quantitative comparison of ferumoxtran-10 and ferumoxytol,"Debats, Oscar A and Fortuin, Ansje S and Meijer, Hanneke J M and Hambrock, Thomas and Litjens, Geert J S and Barentsz, Jelle O and Huisman, Henkjan J",10.7717/peerj.2471,7,PRJ
Deba19,article,Lymph node detection in MR Lymphography: false positive reduction using multi-view convolutional neural networks,"Debats, Oscar A. and Litjens, Geert J. S. and Huisman, Henkjan J.",10.7717/peerj.8052,,PRJ
Dekk20,article,Automated calcium scores collected during myocardial perfusion imaging improve identification of obstructive coronary artery disease,Mirthe Dekker and Farahnaz Waissi and Ingrid E.M. Bank and Nikolas Lessmann and Ivana I{\v{s}}gum and Birgitta K. Velthuis and Asbj{\o}rn M. Scholtens and Geert E. Leenders and Gerard Pasterkamp and Dominique P.V. de Kleijn and Leo Timmers and Arend Mosterd,10.1016/j.ijcha.2019.100434,,IJCARDHV
Dekk21,article,High Levels of Osteoprotegerin Are Associated with Coronary Artery Calcification in Patients Suspected of a Chronic Coronary Syndrome,"Dekker, Mirthe and Waissi, Farahnaz and Silvis, Max J. M. and Bennekom, Joelle V. and Schoneveld, Arjan H. and {de Winter}, Robbert J. and Isgum, Ivana and Lessmann, Nikolas and Velthuis, Birgitta K. and Pasterkamp, Gerard and Mosterd, Arend and Timmers, Leo and {de Kleijn}, Dominique P. V.",10.1038/s41598-021-98177-4,,NATSCIREP
Demi09,article,The Representation and Matching of Images Using Top Points,"Demirci, M. Fatih and Platel, Bram and Shokoufandeh, Ali and Florack, Luc L. and Dickinson, Sven J.",10.1007/s10851-009-0157-y,21,JMIV
Derc19,mastersthesis,Prostate Cancer Classification and Label Scarcity,Koen Dercksen,,,Master thesis
Derck19,inproceedings,Dealing with Label Scarcity in Computational Pathology: A Use Case in Prostate Cancer Classification,Koen Dercksen and Wouter Bulten and Geert Litjens,,2,
Dese09,conference,Effect of {MR} Lymphography on the Probability for Lymph Node Involvement in Patients with Prostate Cancer,W. Deserno AND O. A. Debats AND Y. Hoogeveen AND J. O. Barentsz,,,
Dese11,article,Comparison of Nodal Risk Formula and {MR} Lymphography for Predicting Lymph Node Involvement in Prostate Cancer,Willem M L L G Deserno and Oscar A Debats and Tom Rozema and Ansje S Fortuin and Roel A M Heesakkers and Yvonne Hoogeveen and Petronella G M Peer and Jelle O Barentsz and Emile N J T van Lin,10.1016/j.ijrobp.2010.05.043,,IJROBP
Desl14,article,Lung volume reduction coil treatment for patients with severe emphysema: a {E}uropean multicentre trial,"Deslee, Ga\""etan and Klooster, Karin and Hetzel, Martin and Stanzel, Franz and Kessler, Romain and Marquette, Charles-Hugo and Witt, Christian and Blaas, Stefan and Gesierich, Wolfgang and Herth, Felix J F. and Hetzel, Juergen and van Rikxoort, Eva M. and Slebos, Dirk-Jan",10.1136/thoraxjnl-2014-205221,147,Thorax
Dett14,article,Bronchial wall measurements in patients after lung transplantation: evaluation of the diagnostic value for the diagnosis of bronchiolitis obliterans syndrome,"Dettmer, Sabine and Peters, Lars and de Wall, Claudia and Schaefer-Prokop, Cornelia and Schmidt, Michael and Warnecke, Gregor and Gottlieb, Jens and Wacker, Frank and Shin, Hoen-Oh",10.1371/journal.pone.0093783,,PLOSONE
Deva11,inproceedings,Automatic lung nodule detection in thick slice {CT}: a comparative study of different gating schemes in {CAD,Pandu R. Devarakota AND Dinesh M. Siddu AND Pragnya Maduskar AND Siddharth Vikal AND Laks Raghupathi,10.1117/12.878404,,
Deva17,article,Use of Volumetry for Lung Nodule Management: Theory and Practice,"Devaraj, Anand and van Ginneken, Bram and Nair, Arjun and Baldwin, David",10.1148/radiol.2017151022,48,Radiology
Diez14,inproceedings,Comparison of Methods for Current-to-Prior Registration of Breast {DCE}-{MRI,Y. Diez and A. Gubern-M\'{e}rida and L. Wang and S. Diekmann and J. Mart\'{i} and B. Platel and J. Kramme and R. Mart\'{i,10.1007/978-3-642-13666-5_67,10,
Dijc11,article,Less mammographic density after nasal versus oral administration of postmenopausal hormone therapy,J. A. A. M. van Dijck and J. D. M. Otten and N. Karssemeijer and P. Kenemans and A. L. M. Verbeek and M. J. van der Mooren,10.3109/13697137.2011.586752,,Climacteric
Dijk10b,conference,Evaluating the motor unit number index ({MUNIX}) as a measure for motor unit loss,J. P. van Dijk and W. J. M. van de Ven and D. F. Stegeman,,,
Dijk13,article,Low-dose {CT} measurements of airway dimensions and emphysema associated with airflow limitation in heavy smokers: a cross sectional study,"Dijkstra, Akkelies E. and Postma, Dirkje S. and Ten Hacken, Nick and Vonk, Judith M. and Oudkerk, Matthijs and van Ooijen, Peter Ma and Zanen, Pieter and Mohamed Hoesein, F. A. A. and van Ginneken, Bram and Schmidt, Michael and Groen, Harry Jm",10.1186/1465-9921-14-11,33,RESPR
Dijk15,article,Novel Genes for Airway Wall Thickness Identified with Combined Genome Wide Association and Expression Analyses,"Dijkstra, Akkelies E. and Postma, Dirkje S. and van Ginneken, Bram and Wielp\""utz, Mark O. and Schmidt, Michael and Becker, Nikolaus and Owsijewitsch, Michael and Kauczor, Hans-Ulrich and de Koning, Harry J. and Lammers, Jan W. and Oudkerk, Matthijs and Brandsma, Corry-Anke and Boss\'{e}, Yohan and Nickle, David C. and Sin, Don D. and Hiemstra, Pieter S. and Wijmenga, Ciska and Smolonska, Joanna and Zanen, Pieter and Vonk, Judith M. and van den Berge, Maarten and Boezen, H Marike and Groen, Harry J M.",10.1164/rccm.201405-0840OC,20,AJRCCM
Dilz19,article,Learned SIRT for Cone Beam Computed Tomography Reconstruction,"Dilz, Roeland and Schr\""oder, Lukas and Moriakov, Nikita and Sonke, Jan-Jakob and Teuwen, Jonas",,,arXiv:1908.10715
Dine10,conference,Thick-slice lung nodule detection: {CAD} prototype performance evaluation,"Dinesh, M. S. AND Laks Raghupathi AND Pandu Devarakota AND Pragnya Maduskar AND Marcos Salganicoff AND Luca Bogoni",,,
Dong10,inproceedings,Automatic segmentation of pulmonary vasculature in thoracic {CT} scans with local thresholding and airway wall removal,E. van Dongen and B. van Ginneken,10.1109/ISBI.2010.5490088,25,
Durm12,conference,Maternal Smoking During Pregnancy and Adiposity in School Age Children: {The Generation R Study,B. Durmus and R. Gaillard and R. Manniesing and D.H.M. Heppe and A. Hofman and V.W.V. Jaddoe,,,
Durm14,article,Parental Smoking During Pregnancy and Total and Abdominal Fat Distribution in School-age Children: the {Generation R} Study,"Durmus, B. and Heppe, D.H.M. and Taal, H.R. and Manniesing, R. and Raat, H. and Hofman, A. and Steegers, E.A.P. and Gaillard, R. and Jaddoe, V.W.V.",10.1038/ijo.2014.9,24,IJO
Durm14a,article,General and abdominal fat outcomes in school-age children associated with infant breastfeeding patterns,"Durmus, B\""usra and Heppe, Denise Hm and Gishti, Olta and Manniesing, Rashindra and Abrahamse-Berkeveld, Marieke and van der Beek, Eline M. and Hofman, Albert and Duijts, Liesbeth and Gaillard, Romy and Jaddoe, Vincent Wv",10.3945/ajcn.113.075937,54,AJCN
Eeke20,mastersthesis,Deep learning-based analysis of bone marrow histopathology images,Leander van Eekelen,,,Master thesis
Eeke20a,inproceedings,Multi-class semantic cell segmentation and classification of aplasia in bone marrow histology images,"van Eekelen, Leander and Pinckaers, Hans and Hebeda, Konnie M and Litjens, Geert",10.1117/12.2549654,,
Eeke21,article,Using deep learning for quantification of cellularity and cell lineages in bone marrow biopsies and comparison to normal age-related variation.,"van Eekelen, Leander and Pinckaers, Hans and van den Brand, Michiel and Hebeda, Konnie M. and Litjens, Geert",10.1016/j.pathol.2021.07.011,,Pathology
Eeke22,conference,Inter-rater agreement of pathologists on determining PD-L1 status in non-small cell lung cancer,Leander van Eekelen and Enrico Munari and Ilaria Girolami and Albino Eccher and Jeroen van der Laak and Katrien Grünberg and Monika Looijen-Salamon and Shoko Vos and Francesco Ciompi,,,
Eeke22a,conference,Nuclei detection with YOLOv5 in PD-L1 stained non-small cell lung cancer whole slide images,Leander van Eekelen and Enrico Munari and Luca Dulce Meesters and Gabriel Silva de Souza and Muradije Demirel-Andishmand and Daan Zegers and Monika Looijen-Salamon and Shoko Vos and Francesco Ciompi,,,
Eerd18,conference,Automatic versus human detection of traumatic cerebral microbleeds on susceptibility weighted imaging,Anke W van der Eerden and Thomas LA van den Heuvel and Bram H Geurts and Bram Platel and Thijs Vande Vyveree and Luc van den Hauwee and Teuntje MJC Andriessen and Bozena M Goraj and Rashindra Manniesing,,,
Ehte16,article,Stain specific standardization of whole-slide histopathological images,"Bejnordi, Babak Ehteshami and Litjens, Geert and Timofeeva, Nadya and Otte-Holler, Irene and Homeyer, Andre and Karssemeijer, Nico and van der Laak, Jeroen",10.1109/TMI.2015.2476509,128,TMI
Ehte16a,article,Automated Detection of {DCIS} in Whole-Slide {H\&E} Stained Breast Histopathology Images,"Bejnordi, B. Ehteshami and Balkenhol, M. and Litjens, G. and Holland, R. and Bult, P. and Karssemeijer, N. and van der Laak, J.",10.1109/TMI.2016.2550620,55,TMI
Ehte17,article,Diagnostic Assessment of Deep Learning Algorithms for Detection of Lymph Node Metastases in Women With Breast Cancer,"Ehteshami Bejnordi, Babak and Veta, Mitko and P. J. van Diest and van Ginneken, Bram and Karssemeijer, Nico and Litjens, Geert and van der Laak, Jeroen A W M and the CAMELYON16 Consortium and Hermsen, Meyke and Manson, Quirine F and Balkenhol, Maschenka and Geessink, Oscar and Stathonikos, Nikolaos and van Dijk, Marcory Crf and Bult, Peter and Beca, Francisco and Beck, Andrew H and Wang, Dayong and Khosla, Aditya and Gargeya, Rishab and Irshad, Humayun and Zhong, Aoxiao and Dou, Qi and Li, Quanzheng and Chen, Hao and Lin, Huang-Jing and Heng, Pheng-Ann and Ha{\ss}, Christian and Bruni, Elia and Wong, Quincy and Halici, Ugur and \""Oner, Mustafa \""Umit and Cetin-Atalay, Rengul and Berseth, Matt and Khvatkov, Vitali and Vylegzhanin, Alexei and Kraus, Oren and Shaban, Muhammad and Rajpoot, Nasir and Awan, Ruqayya and Sirinukunwattana, Korsuk and Qaiser, Talha and Tsang, Yee-Wah and Tellez, David and Annuscheit, Jonas and Hufnagl, Peter and Valkonen, Mira and Kartasalo, Kimmo and Latonen, Leena and Ruusuvuori, Pekka and Liimatainen, Kaisa and Albarqouni, Shadi and Mungal, Bharti and George, Ami and Demirci, Stefanie and Navab, Nassir and Watanabe, Seiryo and Seno, Shigeto and Takenaka, Yoichi and Matsuda, Hideo and Ahmady Phoulady, Hady and Kovalev, Vassili and Kalinovsky, Alexander and Liauchuk, Vitali and Bueno, Gloria and Fernandez-Carrobles, M Milagro and Serrano, Ismael and Deniz, Oscar and Racoceanu, Daniel and Ven\^ancio, Rui",10.1001/jama.2017.14585,791,JAMA
Ehte18,article,Using deep convolutional neural networks to identify and classify tumor-associated stroma in diagnostic breast biopsies,"Ehteshami Bejnordi, Babak and Mullooly, Maeve and Pfeiffer, Ruth M and Fan, Shaoqi and Vacek, Pamela M and Weaver, Donald L and Herschorn, Sally and Brinton, Louise A and van Ginneken, Bram and Karssemeijer, Nico and Beck, Andrew H and Gierach, Gretchen L and van der Laak, Jeroen A W M and Sherman, Mark E",10.1038/s41379-018-0073-z,52,MODP
Eile08,article,"Differential impact of conventional and low-dose oral hormone therapy, tibolone and raloxifene on mammographic breast density, assessed by an automated quantitative method",A. L. Eilertsen and N. Karssemeijer and P. Skaane and E. Qvigstad and P. M. Sandset,10.1111/j.1471-0528.2008.01690.x,37,BJOG
Eise03,article,Detection of monitoring materials on bedside chest radiographs with the most recent generation of storage phosphor plates: dose increase does not improve detection performance,"Eisenhuber, Edith and Stadler, Alfred and Prokop, Mathias and Fuchsjager, Michael and Weber, Michael and Schaefer-Prokop, Cornelia",10.1148/radiol.2271020045,12,Radiology
Eise12,article,Bedside chest radiography,"Eisenhuber, Edith and Schaefer-Prokop, Cornelia M. and Prosch, Helmut and Schima, Wolfgang",10.4187/respcare.01712,,RESPC
Emau15,article,MR} Imaging as an Additional Screening Modality for the Detection of Breast Cancer in Women Aged 50-75 Years with Extremely Dense Breasts: The {DENSE} Trial Study Design,"Emaus, Marleen J. and Bakker, Marije F. and Peeters, Petra H M. and Loo, Claudette E. and Mann, Ritse M. and {de Jong}, Mathijn D F. and Bisschops, Robertus H C. and Veltman, Jeroen and Duvivier, Katya M. and Lobbes, Marc B I. and Pijnappel, Ruud M. and Karssemeijer, Nico and {de Koning}, Harry J. and {van den Bosch}, Maurice A A J. and Monninkhof, Evelyn M. and Mali, Willem P Th M. and Veldhuis, Wouter B. and {van Gils}, Carla H.",10.1148/radiol.2015141827,72,Radiology
Emau19,article,Bragatston study protocol: a multicentre cohort study on automated quantification of cardiovascular calcifications on radiotherapy planning {CT} scans for cardiovascular risk prediction in patients with breast cancer,"Emaus, Marleen J. and I{\v{s}}gum, Ivana and van Velzen, Sanne G. M. and van den Bongard, H. J. G. Desir{\'{e}}e and Gernaat, Sofie A. M. and Lessmann, Nikolas and Sattler, Margriet G. A. and Teske, Arco J. and Penninkhof, Joan and Meijer, Hanneke and Pignol, Jean-Philippe and Verkooijen, Helena M.",10.1136/bmjopen-2018-028752,,BMJO
Enge01,inproceedings,Matching breast lesions in multiple mammographic views,S. van Engeland and N. Karssemeijer,10.1007/3-540-45468-3_149,6,
Enge02,article,High-resolution {CT} and {CT} angiography of peripheral pulmonary vascular disorders,"Engelke, Christoph and Schaefer-Prokop, Cornelia and Schirg, Eckart and Freihorst, Joachim and Grubnic, Sisa and Prokop, Mathias",,84,Radiographics
Enge03,article,A comparison of methods for mammogram registration,S. van Engeland and P. Snoeren and J. Hendriks and N. Karssemeijer,10.1109/TMI.2003.819273,101,TMI
Enge03a,article,Discrimination of prostate cancer from normal peripheral zone and central gland tissue by using dynamic contrast-enhanced {MR} imaging,"Engelbrecht, Marc R. and Huisman, Henkjan J. and Laheij, Robert J F. and Jager, Gerrit J. and van Leenders, Geert J L H. and Hulsbergen-van de Kaa, Christina A. and de la Rosette, Jean J M C H. and Blickman, Johan G. and Barentsz, Jelle O.",10.1148/radiol.2291020200,461,Radiology
Enge03b,inproceedings,Optimized perception of lesion growth in mammograms using digital display,S. van Engeland and P. R. Snoeren and N. Karssemeijer and J. H. C. L. Hendriks,10.1117/12.480074,8,
Enge05,inproceedings,Using context for mass detection and classification in mammograms,S. van Engeland and C. Varela and S. Timp and P. Snoeren and N. Karssemeijer,10.1117/12.594483,5,
Enge05b,inproceedings,Regrouping initial {CAD} mass detections to facilitate classification of suspicious regions in mammography,S. van Engeland and N. Karssemeijer,10.1117/12.595205,2,
Enge06,article,Finding corresponding regions of interest in mediolateral oblique and craniocaudal mammographic views,S. van Engeland and S. Timp and N. Karssemeijer,10.1118/1.2230359,53,MP
Enge06a,article,Volumetric breast density estimation from full-field digital mammograms,S. van Engeland and P. R. Snoeren and H. Huisman and C. Boetes and N. Karssemeijer,10.1109/TMI.2005.862741,250,TMI
Enge06b,phdthesis,Detection of mass lesions in mammograms by using multiple views,"van Engeland, S.",,,PhD thesis
Enge07,article,Combining two mammographic projections in a computer aided mass detection method,S. van Engeland and N. Karssemeijer,10.1118/1.2436974,73,MP
Enge19,conference,Automatic Segmentation of Drusen and Exudates on Color Fundus Images using Generative Adversarial Networks,"Engelberts, Jonne and Gonz\'{a}lez-Gonzalo, Cristina and S\'{a}nchez, Clara I. and van Grinsven, Mark J.",,,
Estr12,conference,Automatic classification of pulmonary function in {COPD} patients using trachea analysis in chest {CT} scans,L. Gallardo-Estrella and P. A. de Jong and O. M. Mets and B. van Ginneken and E. M. van Rikxoort,,,
Estr19,phdthesis,Quantification of COPD biomarkers in thoracic CT scans,Leticia Gallardo Estrella,,,PhD thesis
Fait21,article,Ultra-high-frequency ultrasound and machine learning approaches for the differential diagnosis of melanocytic lesions.,"Faita, Francesco and Oranges, Teresa and Di Lascio, Nicole and Ciompi, Francesco and Vitali, Saverio and Aringhieri, Giacomo and Janowska, Agata and Romanelli, Marco and Dini, Valentina",10.1111/exd.14330,,_Experimental_Dermatology_
Fary20,mastersthesis,Brain MRI synthesis via pathology factorization and adversarial cycle-consistent learning for data augmentation,"Faryna, Khrystyna",,,Master thesis
Fary20a,inproceedings,Attention-guided classification of abnormalities in semi-structured computed tomography reports,Khrystyna Faryna and Fakrul I. Tushar and Vincent M. D'Anniballe and Rui Hou and Geoffrey D. Rubin and Joseph Y. Lo,10.1117/12.2551370,,
Fary20b,inproceedings,Adversarial cycle-consistent synthesis of cerebral microbleeds for data augmentation,Khrystyna Faryna and Kevin Koschmieder and Marcella M. Paul and Thomas van den Heuvel and Anke van der Eerden and Rashindra Manniesing and Bram van Ginneken,,,
Fary21,inproceedings,Tailoring automated data augmentation to H\&E-stained histopathology,"Faryna, Khrystyna and van der Laak, Jeroen and Litjens, Geert",,,
Fens13,article,"Subphenotypes of Mild-to-Moderate COPD by Factor and Cluster Analysis of Pulmonary Function, {CT} Imaging and Breathomics in a Population-Based Survey","Fens, Niki and van Rossum, Annelot G J. and Zanen, Pieter and van Ginneken, Bram and van Klaveren, Rob J. and Zwinderman, Aeilko H. and Sterk, Peter J.",10.3109/15412555.2012.744388,33,COPD
Ferr08,inproceedings,Bayesian Modelling of Multi-View Mammography,N. de Carvalho Ferreira and M.Velikova and P. Lucas,,,
Fick21,inproceedings,A Partial Label-Based Machine Learning Approach For Cervical Whole-Slide Image Classification: The Winning {TissueNet} Solution,Rutger H.J. Fick and Brice Tayart and Capucine Bertrand and Solene Chan Lang and Tina Rey and Francesco Ciompi and Cyprien Tilmant and Isabelle Farre and Saima Ben Hadj,10.1109/embc46164.2021.9631009,,
Fing19,article,"MACUSTAR: Development and Clinical Validation of Functional, Structural, and Patient-Reported Endpoints in Intermediate Age-Related Macular Degeneration","Finger, Robert P. and Schmitz-Valckenberg, Steffen and Schmid, Matthias and Rubin, Gary S. and Dunbar, Hannah and Tufail, Adnan and Crabb, David P. and Binns, Alison and S\'{a}nchez, Clara I. and Margaron, Philippe and Normand, Guillaume and Durbin, Mary K. and Luhmann, Ulrich F. O. and Zamiri, Parisa and Cunha-Vaz, Jose and Asmus, Friedrich and Holz, Frank G. and on behalf of the MACUSTAR consortium",10.1159/000491402,18,Ophthalmologica
Firo08,conference,Intracranial Aneurysm Segmentation in {CTA}: Method and Quantitative Validation,A. Firouzian and R. Manniesing and A. {van der Lugt} and H.Z. Flach and W.J. Niessen,,,
Firo10,article,Intracranial Aneurysm Segmentation in {3D} {CT} Angiography: Method and Quantitative Validation with and without Prior Noise Filtering,A. Firouzian and R. Manniesing and H. Z. Flach and R. Risselada and F. {van Kooten} and M.C. Sturkenboom and A. {van der Lugt} and W.J. Niessen,10.1016/j.ejrad.2010.02.015,53,EJR
Firo10a,inproceedings,Intracranial Aneurysm Segmentation in {3D} {CT} Angiography: Method and Quantitative Validation,A. Firouzian and R. Manniesing and H.Z. Flach and R. Risselada and F. {van Kooten} and M.C.J.M. Sturkenboom and A. {van der Lugt} and W.J. Niessen,10.1117/12.843674,1,
Firo12,inproceedings,Intracranial aneurysm growth quantification on {CTA,A. Firouzian and R. Manniesing and C.T. Metz and S. Klein and B. K. Velthuis and GJE Rinkel and A. van der Lugt and W.J. Niessen,10.1117/12.910713,,
Firo12a,article,Quantification of Intracranial Aneurysm Morphodynamics from {ECG}-gated {CT} Angiography,A. Firouzian and R. Manniesing and C. T. Metz and R. Risselada and S. Klein and F. {van Kooten} and M. C. J. M. Sturkenboom and and A. {van der Lugt} and W. J. Niessen,10.1016/j.acra.2012.06.008,17,AR
Firo13,phdthesis,Automated Analysis of Intracranial Aneurysm Morphology and Dynamics from {CTA} Data,Azadeh Firouzian,,,PhD thesis
Fond13,inproceedings,Perceptually adapted method for optic disc detection on retinal fundus images,"Fondon, I. and van Grinsven, M. J. J. P. and S\'{a}nchez, C. I. and Saez, A.",10.1109/CBMS.2013.6627802,10,
Fort12,article,Value of {PET/CT} and {MR} Lymphography in Treatment of Prostate Cancer Patients with Lymph Node Metastases,"Fortuin, Ansje S. and Deserno, Willem M L L G. and Meijer, Hanneke J M. and Jager, Gerrit J. and Takahashi, Satoru and Debats, Oscar A. and Reske, Sven N. and Schick, Christian and Krause, Bernd J. and van Oort, Inge and Witjes, Alfred J. and Hoogeveen, Yvonne L. and Th van Lin, Emile N J. and Barentsz, Jelle O.",10.1016/j.ijrobp.2011.12.093,,IJROBP
Fuch03,article,Impact of ambient light and window settings on the detectability of catheters on soft-copy display of chest radiographs at bedside,"Michael H Fuchsj\""ager and Cornelia M {Schaefer-Prokop} and Edith Eisenhuber and Peter Homolka and Michael Weber and Martin A Funovics and Mathias Prokop",10.2214/ajr.181.5.1811415,32,AJR
Fuet05,article,Staging prostate cancer with dynamic contrast-enhanced endorectal {MR} imaging prior to radical prostatectomy: experienced versus less experienced readers,"F\""utterer, Jurgen J. and Engelbrecht, Marc R. and Huisman, Henkjan J. and Jager, Gerrit J. and Hulsbergen-van de Kaa, Christina A. and Witjes, J Alfred and Barentsz, Jelle O.",10.1148/radiol.2372041724,253,Radiology
Fuet06,article,Prostate cancer localization with dynamic contrast-enhanced {MR} imaging and proton {MR} spectroscopic imaging,"J. J. F\""utterer and S. W. T. P. J. Heijmink and T. W. J. Scheenen and J. Veltman and H. J. Huisman and P. Vos and C. A. {Hulsbergen-van de Kaa} and J. A. Witjes and P. F. M. Krabbe and A. Heerschap and J. O. Barentsz",10.1148/radiol.2412051866,603,Radiology
Fuet07,article,Standardized threshold approach using three-dimensional proton magnetic resonance spectroscopic imaging in prostate cancer localization of the entire prostate,"J. J. F\""utterer and T. W. J. Scheenen and S. W. T. P. J. Heijmink and H. J. Huisman and C. A. Hulsbergen-Van de Kaa and J. A. Witjes and A. Heerschap and J. O. Barentsz",10.1097/01.rli.0000251541.03822.bb,86,IR
Fuett04,article,Initial experience of 3 tesla endorectal coil magnetic resonance imaging and 1H-spectroscopic imaging of the prostate,"F\""utterer, Jurgen J. and Scheenen, Tom W J. and Huisman, Henkjan J. and Klomp, Dennis W J. and van Dorsten, Ferdi A. and Hulsbergen-van de Kaa, Christina A. and Witjes, J Alfred and Heerschap, Arend and Barentsz, Jelle O.",,176,IR
Gal21,article,Identification of Risk of Cardiovascular Disease by Automatic Quantification of Coronary Artery Calcifications on Radiotherapy Planning CT Scans in Patients With Breast Cancer,"Gal, Roxanne and van Velzen, Sanne G. M. and Hooning, Maartje J. and Emaus, Marleen J. and van der Leij, Femke and Gregorowitsch, Madelijn L. and Blezer, Erwin L. A. and Gernaat, Sofie A. M. and Lessmann, Nikolas and Sattler, Margriet G. A. and Leiner, Tim and de Jong, Pim A. and Teske, Arco J. and Verloop, Janneke and Penninkhof, Joan J. and Vaartjes, Ilonca and Meijer, Hanneke and van Tol-Geerdink, Julia J. and Pignol, Jean-Philippe and van den Bongard, Desiree H. J. G. and Isgum, Ivana and Verkooijen, Helena M.",10.1001/jamaoncol.2021.1144,,JAMA Oncology
Gala92,article,The visibility of a central venous catheter using digital luminescence radiography in intensive care radiology,"Galanski, M. and Prokop, M. and Thorns, E. and Oestmann, J. W. and Reichelt, S. and Haubitz, B. and Milbradt, H. and Gr\""aser, A. and Verner, L. and Schaefer, C.",10.1055/s-2008-1032838,5,Rofo
Gala92a,article,Chemoembolization of hepatocellular carcinoma in cases of isolated liver involvement,"Galanski, M. and Schmoll, E. and Reichelt, S. and B\""ohmer, G. and Prokop, M. and Schaefer, C. and Sch\""uler, A. and Ringe, B. and Schmidt, F. W. and Schmoll, H. J.",,,Radiologe
Gala93,article,Renal arterial stenoses: spiral {CT} angiography,"Galanski, M. and Prokop, M. and Chavan, A. and Schaefer, C. M. and Jandeleit, K. and Nischelsky, J. E.",,326,Radiology
Gala93a,article,Current status of the imaging modalities in the pre- and postoperative diagnostic workup of liver transplant patients,"Galanski, M. and Chavan, A. and Prokop, M. and Schaefer, C. and Harms, J.",,1,Bildgebung
Gala94,article,[Accuracy of {CT} angiography in the diagnosis of renal artery stenosis],"Galanski, M. and Prokop, M. and Chavan, A. and Schaefer, C. and Jandeleit, K. and Olbricht, C.",10.1055/s-2008-1032579,35,Rofo
Gall11b,inproceedings,Human/Robot Interface for Voice Teleoperation of a Robotic Platform,"Gallardo-Estrella, L. and Poncela, A.",10.1007/978-3-642-21501-8_30,,LNCS
Gall12a,conference,Trachea Shape Analysis from Inspiration and Expiration Thoracic Computed Tomography Scans,L. Gallardo-Estrella and B. van Ginneken and O. M. Mets and P. Zanen and P. A. de Jong and C. M. Schaefer-Prokop and E. M. van Rikxoort,,,
