bibkey,type,title,authors,ss_id,all_ss_ids,comment
Dalm15a,conference,Early Phase Contrast Enhancement Dynamics of Breast Lesions of Different Molecular Subtypes Characterized by a Computer-Aided-Diagnosis System,M.U. Dalmis and A. Gubern-M\'{e}rida and S. Vreemann and R. Mann and N. Karssemeijer and B. Platel,,,
Dalm16,article,A Computer-Aided Diagnosis System for Breast {DCE-MRI} at High Spatiotemporal Resolution,M.U. Dalmis and A. Gubern-M\'{e}rida and S. Vreemann and N. Karssemeijer and R. Mann and B. Platel,2662ff8ddd7135754bc72ca833eacfc1f307aeb1,,"title matching: single bibkey, single ss_id"
Dalm17,article,Using deep learning to segment breast and fibroglandular tissue in {MRI} volumes,"Dalmis, Mehmet Ufuk and Litjens, Geert and Holland, Katharina and Setio, Arnaud and Mann, Ritse and Karssemeijer, Nico and Gubern-M\'{e}rida, Albert",11f7a41abab06b8792057fa46cd3de08b22ac7d0,,"title matching: single bibkey, single ss_id"
Dalm18,article,Fully automated detection of breast cancer in screening MRI using convolutional neural networks,"Dalmis, Mehmet Ufuk and Vreemann, Suzan and Kooi, Thijs and Mann, Ritse M and Karssemeijer, Nico and Gubern-Merida, Albert",c752bf23b7c12e6f81b6d2b014e29597095a8f94,,"title matching: single bibkey, single ss_id"
Dalm19,article,"Artificial Intelligence Based Classification of Breast Lesions Imaged With a Multi-Parametric Breast MRI Protocol With ultrafast DCE-MRI, T2 and DWI","Dalmis, Mehmet Ufuk and Gubern-M{\'{e}}rida, Albert and Vreemann, Suzan and Bult, Peter and Karssemeijer, Nico and Mann, Ritse and Teuwen, Jonas",78a25fcd0825f006d8326a932d681e9420a9b77f,,"title matching: single bibkey, single ss_id"
Dalm19a,phdthesis,Automated Analysis of Breast MRI From traditional methods into deep learning,Mehmet Ufuk Dalmis,,,
Dama22,article,A Comparison Between Single- and Multi-Scale Approaches for Classification of Histopathology Images,Marina D'Amato and Przemys{\l}aw Szostak and Benjamin Torben-Nielsen,,,
Dana97,inproceedings,Reflectance and texture of real-world surfaces,K. J. Dana and B. van Ginneken and S. K. Nayar and J. J. Koenderink,8a07de049e417cc61442d8c1ecc576155f6777a8,,single doi match
Dana99,article,Reflectance and texture of real world surfaces,K. J. Dana and B. van Ginneken and S. K. Nayar and J. J. Koenderink,1e0bf0fbefbb0404c3c18740123a969091c67ef4,,single doi match
Davi18,article,Chest X-Rays Image Inpainting with Context Encoders,Davide Belli and Shi Hu and Ecem Sogancioglu and Bram van Ginneken,cb8d5a5a21c99bdf5ad5734742c04229c978401d,,"title matching: single bibkey, single ss_id"
DeSo19,article,Validated imaging biomarkers as decision-making tools in clinical trials and routine practice: current status and recommendations from the EIBALL* subcommittee of the European Society of Radiology (ESR),"deSouza, Nandita M and Achten, Eric and Alberich-Bayarri, Angel and Bamberg, Fabian and Boellaard, Ronald and Clement, Olivier and Fournier, Laure and Gallagher, Ferdia and Golay, Xavier and Heussel, Claus Peter and Jackson, Edward F and Manniesing, Rashindra and Mayerhofer, Marius E and Neri, Emanuele and O'Connor, James and Oguz, Kader Karli and Persson, Anders and Smits, Marion and van Beek, Edwin J R and Zech, Christoph J and European Society of Radiology",4d1a108034c95b70c51ffcc73cec398e312b3446,,"title matching: single bibkey, single ss_id"
Deba10,inproceedings,Automated classification of lymph nodes in {USPIO}-enhanced {MR}-images: a comparison of three segmentation methods,O. A. Debats and N. Karssemeijer and J. O. Barentsz and H. J. Huisman,6d0c6c2a9a8c9d13e071fe9b6d76e57f3c301a33,,"title matching: single bibkey, single ss_id"
Deba11,article,Automated 3-Dimensional Segmentation of Pelvic Lymph Nodes in Magnetic Resonance Images,Oscar A. Debats AND G. Litjens AND Jelle O. Barentsz AND N. Karssemeijer AND H.J. Huisman,5fd64cf068745acfc9df060a4aecb7ff6e68ead4,,"title matching: single bibkey, single ss_id"
Deba11a,conference,Detection of Lymph Node Metastases with Ferumoxtran-10 vs Ferumoxytol,O.A. Debats and T. Hambrock and G. Litjens and H.J. Huisman and J.O. Barentsz,,,
Deba16,article,Automated multistructure atlas-assisted detection of lymph nodes using pelvic MR lymphography in prostate cancer patients,"Debats, Oscar A. and Meijs, Midas and Litjens, Geert J. S. and Huisman, Henkjan J.",70079b1af89534ad1caa342fdac269789d31459c,,"title matching: single bibkey, single ss_id"
Deba16a,article,Intranodal signal suppression in pelvic MR lymphography of prostate cancer patients: a quantitative comparison of ferumoxtran-10 and ferumoxytol,"Debats, Oscar A and Fortuin, Ansje S and Meijer, Hanneke J M and Hambrock, Thomas and Litjens, Geert J S and Barentsz, Jelle O and Huisman, Henkjan J",7b919a690fea032f8b55339c2a0f4abc56add55b,,"title matching: single bibkey, single ss_id"
Deba19,article,Lymph node detection in MR Lymphography: false positive reduction using multi-view convolutional neural networks,"Debats, Oscar A. and Litjens, Geert J. S. and Huisman, Henkjan J.",663b19914b7fe99a2c3cc1641ba8d47109d63db2,,single doi match
Dekk20,article,Automated calcium scores collected during myocardial perfusion imaging improve identification of obstructive coronary artery disease,Mirthe Dekker and Farahnaz Waissi and Ingrid E.M. Bank and Nikolas Lessmann and Ivana I{\v{s}}gum and Birgitta K. Velthuis and Asbj{\o}rn M. Scholtens and Geert E. Leenders and Gerard Pasterkamp and Dominique P.V. de Kleijn and Leo Timmers and Arend Mosterd,583fa25f21581a7bf39510373038cb9d69004232,,"title matching: single bibkey, single ss_id"
Dekk21,article,High Levels of Osteoprotegerin Are Associated with Coronary Artery Calcification in Patients Suspected of a Chronic Coronary Syndrome,"Dekker, Mirthe and Waissi, Farahnaz and Silvis, Max J. M. and Bennekom, Joelle V. and Schoneveld, Arjan H. and {de Winter}, Robbert J. and Isgum, Ivana and Lessmann, Nikolas and Velthuis, Birgitta K. and Pasterkamp, Gerard and Mosterd, Arend and Timmers, Leo and {de Kleijn}, Dominique P. V.",f8fd6c688a6da313e69e95559c1db7cfa1fb04d0,,"title matching: single bibkey, single ss_id"
Demi09,article,The Representation and Matching of Images Using Top Points,"Demirci, M. Fatih and Platel, Bram and Shokoufandeh, Ali and Florack, Luc L. and Dickinson, Sven J.",,,
Derc19,mastersthesis,Prostate Cancer Classification and Label Scarcity,Koen Dercksen,,,
Derck19,inproceedings,Dealing with Label Scarcity in Computational Pathology: A Use Case in Prostate Cancer Classification,Koen Dercksen and Wouter Bulten and Geert Litjens,8da1812001d6d2753f2ef55fa5e50e39a648030a,,"title matching: single bibkey, single ss_id"
Dese09,conference,Effect of {MR} Lymphography on the Probability for Lymph Node Involvement in Patients with Prostate Cancer,W. Deserno AND O. A. Debats AND Y. Hoogeveen AND J. O. Barentsz,,,
Dese11,article,Comparison of Nodal Risk Formula and {MR} Lymphography for Predicting Lymph Node Involvement in Prostate Cancer,Willem M L L G Deserno and Oscar A Debats and Tom Rozema and Ansje S Fortuin and Roel A M Heesakkers and Yvonne Hoogeveen and Petronella G M Peer and Jelle O Barentsz and Emile N J T van Lin,,,
Desl14,article,Lung volume reduction coil treatment for patients with severe emphysema: a {E}uropean multicentre trial,"Deslee, Ga\""etan and Klooster, Karin and Hetzel, Martin and Stanzel, Franz and Kessler, Romain and Marquette, Charles-Hugo and Witt, Christian and Blaas, Stefan and Gesierich, Wolfgang and Herth, Felix J F. and Hetzel, Juergen and van Rikxoort, Eva M. and Slebos, Dirk-Jan",,,
Dett14,article,Bronchial wall measurements in patients after lung transplantation: evaluation of the diagnostic value for the diagnosis of bronchiolitis obliterans syndrome,"Dettmer, Sabine and Peters, Lars and de Wall, Claudia and Schaefer-Prokop, Cornelia and Schmidt, Michael and Warnecke, Gregor and Gottlieb, Jens and Wacker, Frank and Shin, Hoen-Oh",8b8211800c55a1cf2cb5b9809294d09bc21b8168,,"title matching: single bibkey, single ss_id"
Deva11,inproceedings,Automatic lung nodule detection in thick slice {CT}: a comparative study of different gating schemes in {CAD,Pandu R. Devarakota AND Dinesh M. Siddu AND Pragnya Maduskar AND Siddharth Vikal AND Laks Raghupathi,,,
Deva17,article,Use of Volumetry for Lung Nodule Management: Theory and Practice,"Devaraj, Anand and van Ginneken, Bram and Nair, Arjun and Baldwin, David",f2ea47c7c53d8728b0ba4f4f0edb945edf877d4c,,"title matching: single bibkey, single ss_id"
Diez14,inproceedings,Comparison of Methods for Current-to-Prior Registration of Breast {DCE}-{MRI,Y. Diez and A. Gubern-M\'{e}rida and L. Wang and S. Diekmann and J. Mart\'{i} and B. Platel and J. Kramme and R. Mart\'{i,5ca3d1d79becff9d2683985814dee4fc47e882c0,,"title matching: single bibkey, single ss_id"
Dijc11,article,Less mammographic density after nasal versus oral administration of postmenopausal hormone therapy,J. A. A. M. van Dijck and J. D. M. Otten and N. Karssemeijer and P. Kenemans and A. L. M. Verbeek and M. J. van der Mooren,,,
Dijk10b,conference,Evaluating the motor unit number index ({MUNIX}) as a measure for motor unit loss,J. P. van Dijk and W. J. M. van de Ven and D. F. Stegeman,,,
Dijk13,article,Low-dose {CT} measurements of airway dimensions and emphysema associated with airflow limitation in heavy smokers: a cross sectional study,"Dijkstra, Akkelies E. and Postma, Dirkje S. and Ten Hacken, Nick and Vonk, Judith M. and Oudkerk, Matthijs and van Ooijen, Peter Ma and Zanen, Pieter and Mohamed Hoesein, F. A. A. and van Ginneken, Bram and Schmidt, Michael and Groen, Harry Jm",529b7ddc8fb2f886b919b66ff8704b96fe16c0af,"['2b0c1e7e2d7743eb84b2e2a0784b2fd92ee7f373', '529b7ddc8fb2f886b919b66ff8704b96fe16c0af']","title matching: single bibkey with multiple_ss_ids (['2b0c1e7e2d7743eb84b2e2a0784b2fd92ee7f373', '529b7ddc8fb2f886b919b66ff8704b96fe16c0af']), took the first one with most citations"
Dijk15,article,Novel Genes for Airway Wall Thickness Identified with Combined Genome Wide Association and Expression Analyses,"Dijkstra, Akkelies E. and Postma, Dirkje S. and van Ginneken, Bram and Wielp\""utz, Mark O. and Schmidt, Michael and Becker, Nikolaus and Owsijewitsch, Michael and Kauczor, Hans-Ulrich and de Koning, Harry J. and Lammers, Jan W. and Oudkerk, Matthijs and Brandsma, Corry-Anke and Boss\'{e}, Yohan and Nickle, David C. and Sin, Don D. and Hiemstra, Pieter S. and Wijmenga, Ciska and Smolonska, Joanna and Zanen, Pieter and Vonk, Judith M. and van den Berge, Maarten and Boezen, H Marike and Groen, Harry J M.",32cfbed76bd55d2aa3c2fa54652941d01994dc35,,"title matching: single bibkey, single ss_id"
Dilz19,article,Learned SIRT for Cone Beam Computed Tomography Reconstruction,"Dilz, Roeland and Schr\""oder, Lukas and Moriakov, Nikita and Sonke, Jan-Jakob and Teuwen, Jonas",b484f95f94ef39029ba3acd3f481bc729172eef5,,"title matching: single bibkey, single ss_id"
Dine10,conference,Thick-slice lung nodule detection: {CAD} prototype performance evaluation,"Dinesh, M. S. AND Laks Raghupathi AND Pandu Devarakota AND Pragnya Maduskar AND Marcos Salganicoff AND Luca Bogoni",,,
Dong10,inproceedings,Automatic segmentation of pulmonary vasculature in thoracic {CT} scans with local thresholding and airway wall removal,E. van Dongen and B. van Ginneken,644ca5e97840d8532c7bdcf142cb49e398ae4ea0,,"title matching: single bibkey, single ss_id"
Durm12,conference,Maternal Smoking During Pregnancy and Adiposity in School Age Children: {The Generation R Study,B. Durmus and R. Gaillard and R. Manniesing and D.H.M. Heppe and A. Hofman and V.W.V. Jaddoe,,,
Durm14,article,Parental Smoking During Pregnancy and Total and Abdominal Fat Distribution in School-age Children: the {Generation R} Study,"Durmus, B. and Heppe, D.H.M. and Taal, H.R. and Manniesing, R. and Raat, H. and Hofman, A. and Steegers, E.A.P. and Gaillard, R. and Jaddoe, V.W.V.",,,
Durm14a,article,General and abdominal fat outcomes in school-age children associated with infant breastfeeding patterns,"Durmus, B\""usra and Heppe, Denise Hm and Gishti, Olta and Manniesing, Rashindra and Abrahamse-Berkeveld, Marieke and van der Beek, Eline M. and Hofman, Albert and Duijts, Liesbeth and Gaillard, Romy and Jaddoe, Vincent Wv",dc399a6d32501c1b878002ed27dfd7c54ab82965,,"title matching: single bibkey, single ss_id"
Eeke20,mastersthesis,Deep learning-based analysis of bone marrow histopathology images,Leander van Eekelen,,,
Eeke20a,inproceedings,Multi-class semantic cell segmentation and classification of aplasia in bone marrow histology images,"van Eekelen, Leander and Pinckaers, Hans and Hebeda, Konnie M and Litjens, Geert",8bc7e464965aabd635e4bc2e76d186d6d2c04e01,,"title matching: single bibkey, single ss_id"
Eeke21,article,Using deep learning for quantification of cellularity and cell lineages in bone marrow biopsies and comparison to normal age-related variation.,"van Eekelen, Leander and Pinckaers, Hans and van den Brand, Michiel and Hebeda, Konnie M. and Litjens, Geert",191e15acc68311c29c38a4bbfa0769608fa48fbc,,"title matching: single bibkey, single ss_id"
Eeke22,conference,Inter-rater agreement of pathologists on determining PD-L1 status in non-small cell lung cancer,Leander van Eekelen and Enrico Munari and Ilaria Girolami and Albino Eccher and Jeroen van der Laak and Katrien Grünberg and Monika Looijen-Salamon and Shoko Vos and Francesco Ciompi,,,
Eeke22a,conference,Nuclei detection with YOLOv5 in PD-L1 stained non-small cell lung cancer whole slide images,Leander van Eekelen and Enrico Munari and Luca Dulce Meesters and Gabriel Silva de Souza and Muradije Demirel-Andishmand and Daan Zegers and Monika Looijen-Salamon and Shoko Vos and Francesco Ciompi,,,
Eerd18,conference,Automatic versus human detection of traumatic cerebral microbleeds on susceptibility weighted imaging,Anke W van der Eerden and Thomas LA van den Heuvel and Bram H Geurts and Bram Platel and Thijs Vande Vyveree and Luc van den Hauwee and Teuntje MJC Andriessen and Bozena M Goraj and Rashindra Manniesing,,,
Ehte16,article,Stain specific standardization of whole-slide histopathological images,"Bejnordi, Babak Ehteshami and Litjens, Geert and Timofeeva, Nadya and Otte-Holler, Irene and Homeyer, Andre and Karssemeijer, Nico and van der Laak, Jeroen",2729d2918978d5ed602aa843fbdd027d83e0036f,,"title matching: single bibkey, single ss_id"
Ehte16a,article,Automated Detection of {DCIS} in Whole-Slide {H\&E} Stained Breast Histopathology Images,"Bejnordi, B. Ehteshami and Balkenhol, M. and Litjens, G. and Holland, R. and Bult, P. and Karssemeijer, N. and van der Laak, J.",7e39820fb261f367ce8bf362de991ebff4400083,,"title matching: single bibkey, single ss_id"
Ehte17,article,Diagnostic Assessment of Deep Learning Algorithms for Detection of Lymph Node Metastases in Women With Breast Cancer,"Ehteshami Bejnordi, Babak and Veta, Mitko and P. J. van Diest and van Ginneken, Bram and Karssemeijer, Nico and Litjens, Geert and van der Laak, Jeroen A W M and the CAMELYON16 Consortium and Hermsen, Meyke and Manson, Quirine F and Balkenhol, Maschenka and Geessink, Oscar and Stathonikos, Nikolaos and van Dijk, Marcory Crf and Bult, Peter and Beca, Francisco and Beck, Andrew H and Wang, Dayong and Khosla, Aditya and Gargeya, Rishab and Irshad, Humayun and Zhong, Aoxiao and Dou, Qi and Li, Quanzheng and Chen, Hao and Lin, Huang-Jing and Heng, Pheng-Ann and Ha{\ss}, Christian and Bruni, Elia and Wong, Quincy and Halici, Ugur and \""Oner, Mustafa \""Umit and Cetin-Atalay, Rengul and Berseth, Matt and Khvatkov, Vitali and Vylegzhanin, Alexei and Kraus, Oren and Shaban, Muhammad and Rajpoot, Nasir and Awan, Ruqayya and Sirinukunwattana, Korsuk and Qaiser, Talha and Tsang, Yee-Wah and Tellez, David and Annuscheit, Jonas and Hufnagl, Peter and Valkonen, Mira and Kartasalo, Kimmo and Latonen, Leena and Ruusuvuori, Pekka and Liimatainen, Kaisa and Albarqouni, Shadi and Mungal, Bharti and George, Ami and Demirci, Stefanie and Navab, Nassir and Watanabe, Seiryo and Seno, Shigeto and Takenaka, Yoichi and Matsuda, Hideo and Ahmady Phoulady, Hady and Kovalev, Vassili and Kalinovsky, Alexander and Liauchuk, Vitali and Bueno, Gloria and Fernandez-Carrobles, M Milagro and Serrano, Ismael and Deniz, Oscar and Racoceanu, Daniel and Ven\^ancio, Rui",ba913e2c03ece1c75f0af4d16dd11c7ffbc6e3ba,,"title matching: single bibkey, single ss_id"
Ehte18,article,Using deep convolutional neural networks to identify and classify tumor-associated stroma in diagnostic breast biopsies,"Ehteshami Bejnordi, Babak and Mullooly, Maeve and Pfeiffer, Ruth M and Fan, Shaoqi and Vacek, Pamela M and Weaver, Donald L and Herschorn, Sally and Brinton, Louise A and van Ginneken, Bram and Karssemeijer, Nico and Beck, Andrew H and Gierach, Gretchen L and van der Laak, Jeroen A W M and Sherman, Mark E",1a3c9f430cf163a3c2decdc9f04dae285739ace6,,"title matching: single bibkey, single ss_id"
Eile08,article,"Differential impact of conventional and low-dose oral hormone therapy, tibolone and raloxifene on mammographic breast density, assessed by an automated quantitative method",A. L. Eilertsen and N. Karssemeijer and P. Skaane and E. Qvigstad and P. M. Sandset,01e9a45f2aa66160883ff062da13e14f4ea96199,"['01e9a45f2aa66160883ff062da13e14f4ea96199', '5966360d32001d2c191aff62808626d295155777']","title matching: single bibkey with multiple_ss_ids (['01e9a45f2aa66160883ff062da13e14f4ea96199', '5966360d32001d2c191aff62808626d295155777']), took the first one with most citations"
Eise03,article,Detection of monitoring materials on bedside chest radiographs with the most recent generation of storage phosphor plates: dose increase does not improve detection performance,"Eisenhuber, Edith and Stadler, Alfred and Prokop, Mathias and Fuchsjager, Michael and Weber, Michael and Schaefer-Prokop, Cornelia",,,
Eise12,article,Bedside chest radiography,"Eisenhuber, Edith and Schaefer-Prokop, Cornelia M. and Prosch, Helmut and Schima, Wolfgang",bb07c9b92d8d59595eb0a5e135c3f54ebae9e43b,,"title matching: single bibkey, single ss_id"
Emau15,article,MR} Imaging as an Additional Screening Modality for the Detection of Breast Cancer in Women Aged 50-75 Years with Extremely Dense Breasts: The {DENSE} Trial Study Design,"Emaus, Marleen J. and Bakker, Marije F. and Peeters, Petra H M. and Loo, Claudette E. and Mann, Ritse M. and {de Jong}, Mathijn D F. and Bisschops, Robertus H C. and Veltman, Jeroen and Duvivier, Katya M. and Lobbes, Marc B I. and Pijnappel, Ruud M. and Karssemeijer, Nico and {de Koning}, Harry J. and {van den Bosch}, Maurice A A J. and Monninkhof, Evelyn M. and Mali, Willem P Th M. and Veldhuis, Wouter B. and {van Gils}, Carla H.",fb1084b454e9b6f203c860e6f89ca4389cd1a8e9,"['fb1084b454e9b6f203c860e6f89ca4389cd1a8e9', 'fc7b70a4d154e3d2dfabe4393809dfb29cc36a7a']","title matching: single bibkey with multiple_ss_ids (['fb1084b454e9b6f203c860e6f89ca4389cd1a8e9', 'fc7b70a4d154e3d2dfabe4393809dfb29cc36a7a']), took the first one with most citations"
Emau19,article,Bragatston study protocol: a multicentre cohort study on automated quantification of cardiovascular calcifications on radiotherapy planning {CT} scans for cardiovascular risk prediction in patients with breast cancer,"Emaus, Marleen J. and I{\v{s}}gum, Ivana and van Velzen, Sanne G. M. and van den Bongard, H. J. G. Desir{\'{e}}e and Gernaat, Sofie A. M. and Lessmann, Nikolas and Sattler, Margriet G. A. and Teske, Arco J. and Penninkhof, Joan and Meijer, Hanneke and Pignol, Jean-Philippe and Verkooijen, Helena M.",88d7b3243c9083be8542ce1fb171241c8e069948,,"title matching: single bibkey, single ss_id"
Enge01,inproceedings,Matching breast lesions in multiple mammographic views,S. van Engeland and N. Karssemeijer,2c91e8d6e8f91f58003862001c4d9b65ac2e966e,,"title matching: single bibkey, single ss_id"
Enge02,article,High-resolution {CT} and {CT} angiography of peripheral pulmonary vascular disorders,"Engelke, Christoph and Schaefer-Prokop, Cornelia and Schirg, Eckart and Freihorst, Joachim and Grubnic, Sisa and Prokop, Mathias",,,
Enge03,article,A comparison of methods for mammogram registration,S. van Engeland and P. Snoeren and J. Hendriks and N. Karssemeijer,047a1a51dff311bfdbf5eed4ab11805d059bdf84,,"title matching: single bibkey, single ss_id"
Enge03a,article,Discrimination of prostate cancer from normal peripheral zone and central gland tissue by using dynamic contrast-enhanced {MR} imaging,"Engelbrecht, Marc R. and Huisman, Henkjan J. and Laheij, Robert J F. and Jager, Gerrit J. and van Leenders, Geert J L H. and Hulsbergen-van de Kaa, Christina A. and de la Rosette, Jean J M C H. and Blickman, Johan G. and Barentsz, Jelle O.",3887e2f1a64b3558388508be00169a39379c473a,,"title matching: single bibkey, single ss_id"
Enge03b,inproceedings,Optimized perception of lesion growth in mammograms using digital display,S. van Engeland and P. R. Snoeren and N. Karssemeijer and J. H. C. L. Hendriks,a77f68203e9f4e3b0bb83aea1fdc085ee50af4d4,,"title matching: single bibkey, single ss_id"
Enge05,inproceedings,Using context for mass detection and classification in mammograms,S. van Engeland and C. Varela and S. Timp and P. Snoeren and N. Karssemeijer,bc98a58c4ad70fe8e10233541b8b7174239c649f,,"title matching: single bibkey, single ss_id"
Enge05b,inproceedings,Regrouping initial {CAD} mass detections to facilitate classification of suspicious regions in mammography,S. van Engeland and N. Karssemeijer,2ef80dbd4ef99216073e7287dfd6f785d1a15877,,"title matching: single bibkey, single ss_id"
Enge06,article,Finding corresponding regions of interest in mediolateral oblique and craniocaudal mammographic views,S. van Engeland and S. Timp and N. Karssemeijer,a7c7f9f9eb5649a0a08e96d331257f1b99046cda,"['0d273948d15fe1bc231a712a308804f8426ee988', 'a7c7f9f9eb5649a0a08e96d331257f1b99046cda']","title matching: single bibkey with multiple_ss_ids (['0d273948d15fe1bc231a712a308804f8426ee988', 'a7c7f9f9eb5649a0a08e96d331257f1b99046cda']), took the first one with most citations"
Enge06a,article,Volumetric breast density estimation from full-field digital mammograms,S. van Engeland and P. R. Snoeren and H. Huisman and C. Boetes and N. Karssemeijer,878d8de48dd9eafa5ec823e17d918b56c856eed9,,single doi match
Enge06b,phdthesis,Detection of mass lesions in mammograms by using multiple views,"van Engeland, S.",,,
Enge07,article,Combining two mammographic projections in a computer aided mass detection method,S. van Engeland and N. Karssemeijer,e5991fe901cb59f561010d99925459a0a99cb9ac,,"title matching: single bibkey, single ss_id"
Enge19,conference,Automatic Segmentation of Drusen and Exudates on Color Fundus Images using Generative Adversarial Networks,"Engelberts, Jonne and Gonz\'{a}lez-Gonzalo, Cristina and S\'{a}nchez, Clara I. and van Grinsven, Mark J.",34559bb0d95c5166625945eef9b53b21a30838fa,,"title matching: single bibkey, single ss_id"
Estr12,conference,Automatic classification of pulmonary function in {COPD} patients using trachea analysis in chest {CT} scans,L. Gallardo-Estrella and P. A. de Jong and O. M. Mets and B. van Ginneken and E. M. van Rikxoort,,,
Estr19,phdthesis,Quantification of COPD biomarkers in thoracic CT scans,Leticia Gallardo Estrella,,,
Fait21,article,Ultra-high-frequency ultrasound and machine learning approaches for the differential diagnosis of melanocytic lesions.,"Faita, Francesco and Oranges, Teresa and Di Lascio, Nicole and Ciompi, Francesco and Vitali, Saverio and Aringhieri, Giacomo and Janowska, Agata and Romanelli, Marco and Dini, Valentina",dda2624afa1a1e32c91322c192e397913fe2fc7d,,"title matching: single bibkey, single ss_id"
Fary20,mastersthesis,Brain MRI synthesis via pathology factorization and adversarial cycle-consistent learning for data augmentation,"Faryna, Khrystyna",,,
Fary20a,inproceedings,Attention-guided classification of abnormalities in semi-structured computed tomography reports,Khrystyna Faryna and Fakrul I. Tushar and Vincent M. D'Anniballe and Rui Hou and Geoffrey D. Rubin and Joseph Y. Lo,,,
Fary20b,inproceedings,Adversarial cycle-consistent synthesis of cerebral microbleeds for data augmentation,Khrystyna Faryna and Kevin Koschmieder and Marcella M. Paul and Thomas van den Heuvel and Anke van der Eerden and Rashindra Manniesing and Bram van Ginneken,4c4f04d1af903f4eabe7767b47439a79e0f6a711,,"title matching: single bibkey, single ss_id"
Fary21,inproceedings,Tailoring automated data augmentation to H\&E-stained histopathology,"Faryna, Khrystyna and van der Laak, Jeroen and Litjens, Geert",79224099fea90dd0316719579f0c635540a3af7e,,"title matching: single bibkey, single ss_id"
Fens13,article,"Subphenotypes of Mild-to-Moderate COPD by Factor and Cluster Analysis of Pulmonary Function, {CT} Imaging and Breathomics in a Population-Based Survey","Fens, Niki and van Rossum, Annelot G J. and Zanen, Pieter and van Ginneken, Bram and van Klaveren, Rob J. and Zwinderman, Aeilko H. and Sterk, Peter J.",14629625274f335f1c62fddf4caf435dde0489f6,,"title matching: single bibkey, single ss_id"
Ferr08,inproceedings,Bayesian Modelling of Multi-View Mammography,N. de Carvalho Ferreira and M.Velikova and P. Lucas,,,
Fick21,inproceedings,A Partial Label-Based Machine Learning Approach For Cervical Whole-Slide Image Classification: The Winning {TissueNet} Solution,Rutger H.J. Fick and Brice Tayart and Capucine Bertrand and Solene Chan Lang and Tina Rey and Francesco Ciompi and Cyprien Tilmant and Isabelle Farre and Saima Ben Hadj,bb3eedbda08fa1290810666ec202624593e6e2bc,,"title matching: single bibkey, single ss_id"
Fing19,article,"MACUSTAR: Development and Clinical Validation of Functional, Structural, and Patient-Reported Endpoints in Intermediate Age-Related Macular Degeneration","Finger, Robert P. and Schmitz-Valckenberg, Steffen and Schmid, Matthias and Rubin, Gary S. and Dunbar, Hannah and Tufail, Adnan and Crabb, David P. and Binns, Alison and S\'{a}nchez, Clara I. and Margaron, Philippe and Normand, Guillaume and Durbin, Mary K. and Luhmann, Ulrich F. O. and Zamiri, Parisa and Cunha-Vaz, Jose and Asmus, Friedrich and Holz, Frank G. and on behalf of the MACUSTAR consortium",14d5f7dc42e1af0d92d9e3e3124619a0cc0e395d,,"title matching: single bibkey, single ss_id"
Firo08,conference,Intracranial Aneurysm Segmentation in {CTA}: Method and Quantitative Validation,A. Firouzian and R. Manniesing and A. {van der Lugt} and H.Z. Flach and W.J. Niessen,,,
Firo10,article,Intracranial Aneurysm Segmentation in {3D} {CT} Angiography: Method and Quantitative Validation with and without Prior Noise Filtering,A. Firouzian and R. Manniesing and H. Z. Flach and R. Risselada and F. {van Kooten} and M.C. Sturkenboom and A. {van der Lugt} and W.J. Niessen,2f7749b662adea99d4231d993319f7f24afb844b,,single doi match
Firo10a,inproceedings,Intracranial Aneurysm Segmentation in {3D} {CT} Angiography: Method and Quantitative Validation,A. Firouzian and R. Manniesing and H.Z. Flach and R. Risselada and F. {van Kooten} and M.C.J.M. Sturkenboom and A. {van der Lugt} and W.J. Niessen,ee26d8460390b683da4bbdf90ce004257b400878,,single doi match
Firo12,inproceedings,Intracranial aneurysm growth quantification on {CTA,A. Firouzian and R. Manniesing and C.T. Metz and S. Klein and B. K. Velthuis and GJE Rinkel and A. van der Lugt and W.J. Niessen,70cb5fd701a0abcb387281dcd399ba803df711b4,,"title matching: single bibkey, single ss_id"
Firo12a,article,Quantification of Intracranial Aneurysm Morphodynamics from {ECG}-gated {CT} Angiography,A. Firouzian and R. Manniesing and C. T. Metz and R. Risselada and S. Klein and F. {van Kooten} and M. C. J. M. Sturkenboom and and A. {van der Lugt} and W. J. Niessen,bad6b84ad1b5439be33b69909ff18b2553f2f403,,"title matching: single bibkey, single ss_id"
Firo13,phdthesis,Automated Analysis of Intracranial Aneurysm Morphology and Dynamics from {CTA} Data,Azadeh Firouzian,,,
Fond13,inproceedings,Perceptually adapted method for optic disc detection on retinal fundus images,"Fondon, I. and van Grinsven, M. J. J. P. and S\'{a}nchez, C. I. and Saez, A.",13aa11f60bf53aee440facaee410163650dbedf3,,"title matching: single bibkey, single ss_id"
Fort12,article,Value of {PET/CT} and {MR} Lymphography in Treatment of Prostate Cancer Patients with Lymph Node Metastases,"Fortuin, Ansje S. and Deserno, Willem M L L G. and Meijer, Hanneke J M. and Jager, Gerrit J. and Takahashi, Satoru and Debats, Oscar A. and Reske, Sven N. and Schick, Christian and Krause, Bernd J. and van Oort, Inge and Witjes, Alfred J. and Hoogeveen, Yvonne L. and Th van Lin, Emile N J. and Barentsz, Jelle O.",,,
